"","BBN_10099_MTG_P3WH10_001","BBN_10109_MTG_P4WA3_001","BBN_10611_MTG_P2WD10_001","BBN_14801_MTG_P1WH9_001","BBN_16213_MTG_P2WH3_001","BBN_18399_MTG_P2WF5_001","BBN_19214_MTG_P2WA3_001","BBN_21792_MTG_P2WG7_001","BBN_24279_MTG_P2WA6_001","BBN_24370_MTG_P3WD4_001","BBN_24578_MTG_P3WF1_001","BBN_7115_MTG_P1WF4_001","BBN_7403_MTG_P1WF7_001","BBN_7404_MTG_P1WF10_001","BBN_7540_MTG_P1WG4_001","BBN_7545_MTG_P1WG7_001","BBN_7617_MTG_P1WH4_001","BBN_9984_MTG_P3WD1_001","BBN002.26094_MTG_P3WC8_001","BBN002.29089_MTG_P3WD7_001","BBN002.29170_MTG_P3WE8_001","BBN002.30035_MTG_P2WG10_001","BBN002.30127_MTG_P3WA4_001","BBN003.26332_MTG_P1WD4_001","BBN003.26333_MTG_P1WD7_001","BBN003.26941_MTG_P2WA9_001","BBN003.26951_MTG_P2WB2_001","BBN003.28342_MTG_P2WB5_001","BBN003.32185_MTG_P1WA5_001","BBN003.32196_MTG_P1WA8_001","BBN003.32205_MTG_P1WB5_001","BBN003.32212_MTG_P1WC1_001","BBN003.32228_MTG_P1WC5_001","BBN003.32235_MTG_P1WC8_001","BBN003.32295_MTG_P1WE3_001","BBN003.33729_MTG_P2WC3_001","BBN003.34161_MTG_P2WC6_001","BBN003.35446_MTG_P2WD1_001","BBN003.35520_MTG_P2WD4_001"
"FUS",43.6761,43.4367,75.6526,77.4433,67.6225,57.377,62.6693,57.1857,55.4944,79.3824,66.2001,52.3743,55.2977,56.2173,75.9508,48.7638,47.8147,49.5285,41.8376,58.8196,58.737,61.8944,67.6236,65.6666,39.5038,52.2977,70.6948,50.8423,21.2159,47.7266,59.3501,65.6662,69.5308,53.1823,73.8384,42.6209,59.1884,46.2259,37.6866
"DEK",16.8925,22.0438,15.6775,22.1863,15.5544,NA,20.7713,NA,14.8453,6.4232,NA,NA,NA,9.73557,NA,29.5743,37.8409,39.8386,33.3752,19.444,14.188,25.6343,NA,NA,NA,NA,NA,11.8722,32.8454,22.1417,NA,20.9422,NA,NA,27.6037,31.0603,NA,NA,NA
"MYH11",NA,67.7088,NA,NA,NA,13.0078,30.6538,49.9137,26.9189,NA,18.0846,22.5052,42.7061,19.2393,115.892,17.4616,31.6751,52.326,31.9619,31.4101,NA,576.517,NA,46.1981,48.54,117.544,27.4774,283.455,48.4502,15.6569,344.175,25.7281,27.5687,38.9886,20.9165,53.034,29.969,29.6568,29.7453
"GLRX",42.0066,121.536,80.9098,141.919,40.0064,35.7535,37.9448,36.7962,76.4564,59.129,32.7894,66.3221,87.5676,56.6454,61.8508,43.6381,49.9833,63.1697,39.4409,91.3593,61.3626,89.8395,60.9594,75.614,48.5019,72.7394,62.037,14.8324,55.3696,53.2396,103.556,56.1962,69.7662,54.8009,49.6181,80.0793,57.2752,37.6246,44.8808
"PPM1A",17.8653,18.0787,30.9782,28.418,25.0315,NA,21.3742,27.9107,28.0573,29.7268,25.9344,28.3394,26.7614,14.262,22.8209,25.3723,33.8878,29.8803,27.8289,21.3972,35.0989,28.5223,19.6218,23.4316,23.5449,21.3329,32.5813,NA,25.2983,31.6235,NA,26.5164,31.2722,32.028,34.741,35.5546,28.2377,27.3971,26.5333
"HMGCL",NA,NA,NA,9.95069,NA,NA,NA,NA,NA,NA,NA,NA,9.74396,1.61685,NA,NA,NA,8.2013,NA,NA,NA,NA,4.15441,NA,6.25563,NA,2.74376,NA,15.2819,NA,NA,NA,NA,7.57203,11.0037,NA,NA,NA,NA
"PSMC2",91.3709,95.6692,102.934,95.9183,99.1481,106.796,98.5033,92.6516,91.6333,80.9536,100.61,102.422,93.0401,96.2736,105.762,95.1711,123.32,106.47,91.3159,83.8924,91.1807,110.741,96.9706,86.484,101.171,99.8383,99.9839,107.335,103.417,107.402,146.124,103.282,114.652,83.7068,84.881,93.6807,109.918,106.548,97.002
"GGT5",9.51017,16.664,6.97507,10.6742,NA,11.3059,12.0276,NA,NA,NA,15.2365,10.7081,13.8812,13.2787,18.3494,7.38637,10.1911,27.3809,NA,NA,9.51881,30.4359,NA,NA,7.43168,18.3112,NA,27.6652,21.9184,NA,54.6678,NA,NA,7.4193,7.13558,8.61949,11.2936,9.01517,7.65508
"ARL2",76.9903,70.2015,68.839,60.9037,69.2165,77.9394,88.1211,83.7979,74.6362,55.3272,55.1506,80.7101,88.4958,74.8361,79.331,78.8103,80.9403,84.9642,73.4755,51.1488,84.9477,61.4678,75.2997,61.4884,81.8969,68.6943,61.4072,76.4394,82.7189,83.8652,83.2471,88.0749,79.9704,93.2381,82.775,75.5261,85.1155,68.2918,95.9798
"ARL3",69.1966,105.111,53.8563,92.2598,61.1381,86.9888,87.4629,99.4197,96.1505,76.1864,64.3432,65.0213,96.5436,58.1865,92.6827,91.6204,148.407,141.247,104.75,94.3003,120.418,70.996,72.0607,62.7055,128.234,65.28,54.9592,69.8543,167.749,150.631,96.8946,82.5089,123.815,133.286,110.804,136.16,86.1176,115.21,97.4751
